url,ref_url,name,desc
http://ji.zhupiter.com/dw/cht-322683/%E5%8A%89%E9%87%91%E7%94%A8/,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,劉金用: 彰化縣社頭鄉山腳路四段93號: 彰化家庭雜貨-零售 - 首頁,
http://poi.zhupiter.com/k/cht-986239/%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%8A%89%E9%87%91%E7%94%A8/,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,彰化縣劉金用 - 首頁 - 諸彼特網站目錄,
http://www.shetou.gov.tw/office/index-1.asp?m=2&m1=6&m2=43&id=167,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,代表劉金用 - 彰化縣社頭鄉公所,
https://github.com/kiang/elections/blob/master/Console/Command/data/facebook_candidates.csv,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,elections/facebook_candidates.csv at master · kiang/elections · GitHub,
http://community.bocach.gov.tw/ch/03_things/02_print.asp?community_id=612,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,彰化縣社區總體營造網-社造版圖,
http://news.ebc.net.tw/apps/newsList.aspx?id=1389236826,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,彰化也有Youbike 彰化縣、巨大正式簽約 - ETTV 東森新聞 - 東森電視,
http://udn.com/vote2014/candidate,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,候選人臉譜- 2014 九合一選舉- 台灣選舉史上最大規模 - UDN.com,
http://taiwanheart.ning.com/group/heart14/forum/topics/tai-wan-guo-2010nian-ji-ceng,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,臺灣國2010年基層選舉《鄉鎮市民代表vs.村里長》當選名單- Taiwan Heart ...,
http://blog.xuite.net/yang5757/blog/199834098-%E5%8C%97%E6%96%97%E8%82%89%E5%9C%93%E7%94%9F%5B%E6%9C%AC%E5%AE%B6.%E5%8A%89%E5%AE%B6%5D%5B103%2F2%2F2%5D,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,北斗肉圓生[本家.劉家] - Xuite日誌,
http://searchme.mobi/st/%E4%BA%BA%E7%89%A9/0161/%E8%95%AD%E5%9C%8B%E7%AB%A0.shtml,http://www.google.com/search?q=%E5%8A%89%E9%87%91%E7%94%A8+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,蕭國章- I'm a small potatoes - 小人物，小故事。 - 小人物狂想曲,
